Year,"Coffee, Arabica ($/kg)","Coffee, Robusta ($/kg)"
1960,0.923516667,0.695945733
1961,0.895541667,0.669435808
1962,0.832591667,0.682203933
1963,0.805741667,0.623507283
1964,1.009758333,0.787067942
1965,1.00035,0.678254075
1966,0.928725,0.7391369
1967,0.864208333,0.739118533
1968,0.867,0.746301775
1969,0.876725,0.729730775
1970,1.146616667,0.913555075
1971,0.991875,0.931577408
1972,1.109591667,0.996079375
1973,1.37345,1.0998595
1974,1.451533333,1.293549333
1975,1.442125,1.345852667
1976,3.146658333,2.813397667
1977,5.168866667,4.932852083
1978,3.589991667,3.251241833
1979,3.826133333,3.651941667
1980,3.466283333,3.243216667
1981,2.86855,2.240216667
1982,3.087558333,2.42365
1983,2.911258333,2.731641667
1984,3.188658333,3.036783333
1985,3.230791667,2.648633333
1986,4.292583333,3.244758333
1987,2.504983333,2.248341667
1988,3.033708333,2.079183333
1989,2.387308333,1.655616667
1990,1.9722,1.181725
1991,1.873391667,1.071925
1992,1.411916667,0.940425
1993,1.5602,1.157375
1994,3.307641667,2.619683333
1995,3.332325,2.770708333
1996,2.694208333,1.805941667
1997,4.167941667,1.736075
1998,2.981316667,1.822583333
1999,2.290583333,1.488758333
2000,1.919666667,0.913025
2001,1.373116667,0.607175
2002,1.356608333,0.661783333
2003,1.415385333,0.81449685
2004,1.773984227,0.793038558
2005,2.532171417,1.114508897
2006,2.522103652,1.489312669
2007,2.723697779,1.909182548
2008,3.081599464,2.320913705
2009,3.171142861,1.644161504
2010,4.320099865,1.73593616
2011,5.976136921,2.407592015
2012,4.110957056,2.266828625
2013,3.075989796,2.075854466
2014,4.423790492,2.216451461
2015,3.526069228,1.94116791
2016,3.611075701,1.953127974
2017,3.323207444,2.225527146
2018,2.925971664,1.869260554
2019,2.879766503,1.621773588
